day,event_start,side,ask,canonical_win,pnl_hold,pnl_lead_bid45_delay0,pnl_lead_bid45_delay0p5,pnl_lead_bid45_delay1,pnl_lead_bid45_delay2,pnl_lead_bid45_delay3,pnl_lead_bid45_delay5,pnl_lead_bid40_delay0,pnl_lead_bid40_delay0p5,pnl_lead_bid40_delay1,pnl_lead_bid40_delay2,pnl_lead_bid40_delay3,pnl_lead_bid40_delay5,signal_secs_lead_bid45_delay0,signal_secs_lead_bid45_delay0p5,signal_secs_lead_bid45_delay1,signal_secs_lead_bid45_delay2,signal_secs_lead_bid45_delay3,signal_secs_lead_bid45_delay5,signal_secs_lead_bid40_delay0,signal_secs_lead_bid40_delay0p5,signal_secs_lead_bid40_delay1,signal_secs_lead_bid40_delay2,signal_secs_lead_bid40_delay3,signal_secs_lead_bid40_delay5,exit_secs_lead_bid45_delay0,exit_secs_lead_bid45_delay0p5,exit_secs_lead_bid45_delay1,exit_secs_lead_bid45_delay2,exit_secs_lead_bid45_delay3,exit_secs_lead_bid45_delay5,exit_secs_lead_bid40_delay0,exit_secs_lead_bid40_delay0p5,exit_secs_lead_bid40_delay1,exit_secs_lead_bid40_delay2,exit_secs_lead_bid40_delay3,exit_secs_lead_bid40_delay5
2026-04-27,2026-04-27T06:45:00.000Z,1,0.940,1,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T06:50:00.000Z,1,0.670,1,4.6197,4.6197,4.6197,4.6197,4.6197,4.6197,4.6197,4.6197,4.6197,4.6197,4.6197,4.6197,4.6197,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T06:55:00.000Z,1,0.830,0,-10.1190,-10.1190,-10.1190,-10.1190,-10.1190,-10.1190,-10.1190,-10.1190,-10.1190,-10.1190,-10.1190,-10.1190,-10.1190,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
2026-04-27,2026-04-27T07:00:00.000Z,1,0.660,0,-10.2380,-3.9828,-4.4319,-4.4319,-3.2300,-8.2445,-9.3887,-8.2445,-9.2464,-9.3887,-9.3887,-10.0970,-10.2380,9.5,9.5,9.5,9.5,9.5,9.5,6.5,6.5,6.5,6.5,6.5,6.5,9.5,8.5,8.5,7.5,6.5,4.5,6.5,5.5,5.0,4.5,3.5,
2026-04-27,2026-04-27T07:10:00.000Z,1,0.920,1,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T07:15:00.000Z,-1,0.750,0,-10.1750,-6.8879,-7.5298,-6.3710,-6.3710,-6.3710,-6.5005,-6.8879,-7.5298,-6.3710,-6.3710,-6.3710,-6.5005,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.0,25.5,24.5,23.5,21.5,26.5,26.0,25.5,24.5,23.5,21.5
2026-04-27,2026-04-27T07:20:00.000Z,1,0.840,1,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T07:25:00.000Z,-1,0.760,1,2.9241,2.9241,2.9241,2.9241,2.9241,2.9241,2.9241,2.9241,2.9241,2.9241,2.9241,2.9241,2.9241,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T07:50:00.000Z,1,0.830,1,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,1.8690,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T08:10:00.000Z,1,0.800,1,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T08:15:00.000Z,1,0.940,1,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T08:20:00.000Z,-1,0.840,1,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T08:30:00.000Z,1,0.870,1,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,1.3458,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T08:35:00.000Z,1,0.840,1,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T08:40:00.000Z,-1,0.630,1,5.5347,5.5347,5.5347,5.5347,5.5347,5.5347,5.5347,5.5347,5.5347,5.5347,5.5347,5.5347,5.5347,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T09:00:00.000Z,1,0.850,1,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T09:05:00.000Z,-1,0.920,1,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T09:10:00.000Z,1,0.920,1,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T10:10:00.000Z,-1,0.780,1,2.6024,2.6024,2.6024,2.6024,2.6024,2.6024,2.6024,2.6024,2.6024,2.6024,2.6024,2.6024,2.6024,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T10:15:00.000Z,1,0.860,1,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,1.4718,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T10:25:00.000Z,-1,0.590,0,-10.2870,-7.0870,-6.2722,-5.7804,-8.3784,-10.1293,-10.1293,-7.0870,-6.2722,-5.7804,-8.3784,-10.1293,-10.1293,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.5,10.0,9.0,8.0,6.0,11.0,10.5,10.0,9.0,8.0,6.0
2026-04-27,2026-04-27T10:40:00.000Z,-1,0.520,1,8.7986,-5.4090,-5.5950,-5.7807,-5.7807,-6.8893,-8.1705,-5.4090,-5.5950,-5.7807,-5.7807,-6.8893,-8.1705,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.5,15.0,14.0,13.0,11.0,16.0,15.5,15.0,14.0,13.0,11.0
2026-04-27,2026-04-27T10:45:00.000Z,-1,0.850,1,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T10:50:00.000Z,1,0.680,1,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,4.4084,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T10:55:00.000Z,1,0.840,0,-10.1120,-8.2058,-10.1120,-10.1120,-10.1120,-10.1120,-10.1120,-8.2058,-10.1120,-10.1120,-10.1120,-10.1120,-10.1120,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,,,,,
2026-04-27,2026-04-27T11:10:00.000Z,-1,0.880,0,-10.0840,-9.2335,-9.3403,-8.6967,-9.4470,-9.1264,-8.9119,-9.2335,-9.3403,-8.6967,-9.4470,-9.1264,-8.9119,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.0,21.5,20.5,19.5,17.5,22.5,22.0,21.5,20.5,19.5,17.5
2026-04-27,2026-04-27T11:30:00.000Z,-1,0.930,1,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,0.6499,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T11:40:00.000Z,1,0.890,1,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T11:45:00.000Z,-1,0.750,1,3.0917,3.0917,3.0917,3.0917,3.0917,3.0917,3.0917,3.0917,3.0917,3.0917,3.0917,3.0917,3.0917,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T11:50:00.000Z,1,0.890,1,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T12:05:00.000Z,1,0.910,1,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,0.8711,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T12:15:00.000Z,1,0.620,0,-10.2660,-5.6644,-6.4454,-6.2897,-5.5075,-5.5075,-6.4454,-5.6644,-6.4454,-6.2897,-5.5075,-5.5075,-6.4454,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.0,21.5,20.5,19.5,17.5,22.5,22.0,21.5,20.5,19.5,17.5
2026-04-27,2026-04-27T12:30:00.000Z,-1,0.850,1,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,1.6009,,,,,,,,,,,,,,,,,,,,,,,,
